job_title,salary_from,salary_to,currency,company,main_location,skill_tag1,skill_tag2,skill_tag3,is_multi_location,is_fully_remote,link
Cloud Operation Engineer,34 000,36 000,PLN,LetzCode,Luxembourg,Troubleshooting,Communication,IT Support,False,True,https://justjoin.it/job-offer/letzcode-cloud-operation-engineer-luxembourg-devops
Senior DevOps Engineer z j. niemieckim (Omnichannel Checkout),20 700,26 800,PLN,dmTECH Polska,Wrocław,Confluence,GitLab,MariaDB,True,True,https://justjoin.it/job-offer/dmtech-polska-senior-devops-engineer-z-j-niemieckim-omnichannel-checkout--wroclaw-devops
Product Manager,14 000,19 000,PLN,XTB,Warszawa,Scrum,Product Management,Jira,True,True,https://justjoin.it/job-offer/xtb-product-manager-warszawa-pm-2a91c289
Senior Python Developer,15 200,22 400,PLN,Mobica,Warszawa,Python,Docker,Databases,True,True,https://justjoin.it/job-offer/mobica-senior-python-developer-warszawa-python
Java Developer (monolit),23 520,25 200,PLN,emagine Polska,Warszawa,Java,SQL,Maven,True,True,https://justjoin.it/job-offer/emagine-polska-java-developer-monolit--warszawa-java
Program Manager w obszarze Cyberbezpieczeństwa,28 560,31 920,PLN,emagine Polska,Warszawa,Project Management,,,True,True,https://justjoin.it/job-offer/emagine-polska-program-manager-w-obszarze-cyberbezpieczenstwa-warszawa-pm
.Net Developer,23 520,26 880,PLN,IN Team,Warszawa,C#,English,.Net,True,True,https://justjoin.it/job-offer/in-team--net-developer-warszawa-net
Support Engineer,15 000,18 000,PLN,Antal Sp. z o.o.,Warszawa,Customer Support,IT Support,,True,False,https://justjoin.it/job-offer/antal-sp-z-o-o--support-engineer-warszawa-support
C++/Rust Software Engineer,25 000,33 000,PLN,1dea,Warszawa,C++,Rust,Distributed systems,False,False,https://justjoin.it/job-offer/1dea-c-rust-software-engineer
Senior Game Designer,20 000,30 000,PLN,Reality Games,Kraków,game,Game Design,,True,False,https://justjoin.it/job-offer/reality-games-senior-game-designer-krakow-game
SDET (QA Automation Engineer С#),6 454,15 060,PLN,Andersen,Warszawa,.Net 8,Automated Testing,,True,True,https://justjoin.it/job-offer/andersen-sdet-qa-automation-engineer--warszawa-testing
Android Applications Engineer (Automotive),25 000,33 000,PLN,1dea,Warszawa,Android platform,Kotlin,Java,False,False,https://justjoin.it/job-offer/1dea-android-applications-engineer-automotive--warszawa-mobile
Full-Stack Engineer (Elixir + React),12 000,21 800,PLN,STX Next,Poznań,TypeScript,Elixir,English,True,True,https://justjoin.it/job-offer/stx-next-full-stack-engineer-elixir-react--poznan-javascript
Generative AI Backend Developer (Azure),27 000,34 500,PLN,hubQuest,Warszawa,Python,C#,REST API,True,True,https://justjoin.it/job-offer/hubquest-generative-ai-backend-developer-azure--warszawa-ai
Project Specialist/PMO,8 000,15 120,PLN,emagine Polska,Warszawa,English,Project Management,,False,False,https://justjoin.it/job-offer/emagine-polska-project-specialist-pmo-warszawa-pm
Senior Test Automation Engineer,21 840,25 200,PLN,7N,Warszawa,Automated Testing,Kafka,Gherkin,False,True,https://justjoin.it/job-offer/7n-senior-test-automation-engineer-warszawa-testing
SAP EWM consultant,20 000,26 000,PLN,Hays Poland,Wrocław,SAP EWM,ABAP,SAP S4/Hana,False,True,https://justjoin.it/job-offer/hays-poland-sap-ewm-consultant-wroclaw-erp
Product Designer,10 000,16 000,PLN,RestaurantClub,Warszawa,UX/UI,Design,,False,False,https://justjoin.it/job-offer/restaurantclub-product-designer-warszawa-ux-cac11ed7
Google Cloud Security SME,25 000,29 500,PLN,Link Group,Warszawa,Google Cloud Platform,Security,Firewall,True,False,https://justjoin.it/job-offer/link-group-google-cloud-security-sme-warszawa-security
Administrator SAP Basis,17 000,23 000,PLN,NESC,Poznań,SAP Authorization,SAP HANA,Azure,True,False,https://justjoin.it/job-offer/nesc-administrator-sap-basis-poznan-erp
Administrator ERP (Comarch XL),13 000,16 000,PLN,ER Group,Gdańsk,Comarch ERP XL,SQL,ERP,False,False,https://justjoin.it/job-offer/er-group-administrator-erp-comarch-xl--gdansk-admin
Administrator ERP (Comarch XL),13 000,16 000,PLN,ER Group,Gdańsk,Comarch ERP XL,SQL,ERP,False,False,https://justjoin.it/job-offer/er-group-administrator-erp-comarch-xl--gdansk-erp
Mid React Native Developer (React Native + TypeScript),16 000,21 000,PLN,Aleph Zero,Kraków,TypeScript,React Native,,False,True,https://justjoin.it/job-offer/aleph-zero-mid-react-native-developer-react-native-typescript--krakow-mobile
Programista C++,12 000,17 000,PLN,Spectre Defence Solutions sp. z o.o.,Ołtarzew,Clean Code,C++,Git,False,False,https://justjoin.it/job-offer/spectre-defence-solutions-sp-z-o-o--programista-c--oltarzew-c
Machine Learning Engineer,16 000,21 500,PLN,Holisticon Insight,Wrocław,GCP,SQL database,,True,True,https://justjoin.it/job-offer/holisticon-insight-machine-learning-engineer-wroclaw-ai
Software Engineer - C++,11 382,18 350,PLN,Mobica,Kraków,Python,C++,Embedded Systems,False,False,https://justjoin.it/job-offer/mobica-software-engineer---c--krakow-c
Team/Tech Leader (Backend Focused / Nest.js) at Research.com,22 000,26 000,PLN,Research.com,Warszawa,kierowanie zespołem,,,True,True,https://justjoin.it/job-offer/research-com-team-tech-leader-backend-focused-nest-js-at-research-com-warszawa-javascript
Android/iOS Developer,15 000,20 000,PLN,AI Clearing,Warszawa,Kotlin multiplatform,Kotlin,Jetpack Compose,False,False,https://justjoin.it/job-offer/ai-clearing-android-ios-developer-warszawa-mobile
Fullstack Developer,18 000,22 000,PLN,Adanto Software,Białystok,Vue.js,Node.js,RESTful,True,True,https://justjoin.it/job-offer/adanto-software-fullstack-developer-bialystok-net
Fullstack Developer,18 000,22 000,PLN,Adanto Software,Białystok,.Net,RESTful,C#,True,True,https://justjoin.it/job-offer/adanto-software-fullstack-developer-bialystok-javascript
Analityk biznesowy (Python),800,1 100,PLN,Jit Team,Warszawa,Python,SAS,Power BI,True,False,https://justjoin.it/job-offer/jit-team-analityk-biznesowy-python--warszawa-analytics
Senior Developer,19 000,22 799,PLN,Jit Team,Warszawa,Java,Python,SQL,False,False,https://justjoin.it/job-offer/jit-team-senior-developer-warszawa-python
Test Automation Manager with German,19 000,25 000,PLN,Trimetis Services,Lublin,Jira/Xray,UAT/FAT,,True,True,https://justjoin.it/job-offer/trimetis-services-test-automation-manager-with-german-lublin-testing
System Engineer,12 000,15 000,PLN,Limango,Wrocław,Linux,OSI,Bash,False,True,https://justjoin.it/job-offer/limango-polska-system-engineer-wroclaw-support
Senior Business IT Analyst,17 100,23 099,PLN,Jit Team,Gdańsk,SQL,,,True,False,https://justjoin.it/job-offer/jit-team-senior-business-it-analyst-gdansk-analytics
Senior QA Engineer – ReadyAPI,13 500,15 900,PLN,SmartBear,Warszawa,Test Automation,JavaScript,,True,True,https://justjoin.it/job-offer/smartbear-senior-qa-engineer---readyapi-warszawa-testing
Business System Analyst,15 000,18 000,PLN,E Net Production Sp. z o.o.,Katowice,Analiza Biznesowa,,,True,True,https://justjoin.it/job-offer/e-net-production-sp-z-o-o--business-system-analyst-katowice-analytics
PHP Developer,12 000,18 000,PLN,E Net Production Sp. z o.o.,Katowice,PHP,MySQL,Git,True,True,https://justjoin.it/job-offer/e-net-production-sp-z-o-o--php-developer-katowice-php-fc887eef
Senior Backend Developer,24 000,28 000,PLN,Lite e-Commerce,Warszawa,Node.js,Git,PostgreSQL,True,True,https://justjoin.it/job-offer/lite-e-commerce-senior-backend-developer-warszawa-javascript
Senior Android Developer,24 000,30 000,PLN,Lite e-Commerce,Warszawa,Polish,Kotlin,,True,True,https://justjoin.it/job-offer/lite-e-commerce-senior-android-developer-warszawa-mobile
Junior .NET Developer,9 000,10 000,PLN,Netcompany,Warszawa,English,ASP.NET MVC,ASP.NET Core,False,False,https://justjoin.it/job-offer/netcompany-junior-net-developer-warszawa-net
Junior Java Developer,9 000,10 000,PLN,Netcompany,Warszawa,English,Spring,SQL,False,False,https://justjoin.it/job-offer/netcompany-junior-java-developer-warszawa-java
Programista Java,10 000,18 000,PLN,Atende Industries,Warszawa,Spring Boot,RabbitMQ,Git,False,False,https://justjoin.it/job-offer/atende-industries-programista-java-warszawa-java
Korepetytor Roblox -Unity - Lua -C++,3 500,4 500,PLN,Kodland,Warsaw,Unity,C++,Scratch,True,True,https://justjoin.it/job-offer/kodland-korepetytor-python-roblox-unity-warszawa
IT Cloud Engineer,16 000,20 000,PLN,Hirschvogel Components Poland Sp. Z O.O.,Gliwice,Cloud,Agile,ITIL,True,False,https://justjoin.it/job-offer/hirschvogel-components-poland-sp-z-o-o--it-cloud-engineer-gliwice-devops
IT Cloud Engineer,16 000,20 000,PLN,Hirschvogel Components Poland Sp. Z O.O.,Gliwice,Cloud,MS Azure,ITIL,True,False,https://justjoin.it/job-offer/hirschvogel-components-poland-sp-z-o-o--it-cloud-engineer-gliwice-devops-7f7d9a07
Senior/Principal Software Engineer - Project Part Time [Permanent recruitment],19 000,43 000,PLN,AI REV LLC,Warszawa,Go,React,Docker,True,True,https://justjoin.it/job-offer/ai-rev-llc-senior-principal-software-engineer---project-part-time-permanent-recruitment--warszawa-python
Senior Java Developer,25 200,31 500,PLN,Jit Team,Warszawa,Java,Elasticsearch,Solr,True,True,https://justjoin.it/job-offer/jit-team-senior-java-developer-warszawa-java-a6c403a7
Test Automation Engineer,5 000,10 000,PLN,NoMachine,Wrocław,English,Jenkins,Bash,False,False,https://justjoin.it/job-offer/nomachine-test-automation-engineer-wroclaw-testing
Junior Java Developer (with Italian),5 000,6 800,PLN,Bytamic Solutions,Kraków,Italian,Java,SQL,True,True,https://justjoin.it/job-offer/bytamic-solutions-junior-java-developer-with-italian--krakow-java
Backend Engineer – ReadyAPI,14 000,17 000,PLN,SmartBear,Wrocław,CI/CD,Java,REST API,True,True,https://justjoin.it/job-offer/smartbear-backend-engineer---readyapi-wroclaw-java
Tester Automatyzujący,12 000,16 000,PLN,Fast White Cat,Wrocław,Appium,Java,JMeter,True,True,https://justjoin.it/job-offer/fast-white-cat-tester-automatyzujacy-wroclaw-testing
Manual QA Engineer,6 000,8 000,PLN,MindPal,Gliwice,English,Manual Tester,,True,False,https://justjoin.it/job-offer/mindpal-manual-qa-engineer-gliwice-testing
Automation Tester/QA,16 800,21 840,PLN,SCALO,Kraków,Testing,Java,C#,False,True,https://justjoin.it/job-offer/scalo-automation-tester-qa-krakow-testing
Test Automation Engineer,15 000,22 000,PLN,VirtusLab,Kraków,English,Testing,SQL,False,False,https://justjoin.it/job-offer/virtuslab-test-automation-engineer-krakow-testing
Junior Administrator Aplikacji Bankowych,5 600,8 000,PLN,RITS Professional Services,Wrocław,Windows Server,,,True,True,https://justjoin.it/job-offer/rits-professional-services-junior-administrator-aplikacji-bankowych-wroclaw-admin
"(Senior) Technical Partnerships Manager (Ukrainian, Polish speaker)",17 211,21 514,PLN,Distribusion Technologies,Berlin,API,API Testing,,True,True,https://justjoin.it/job-offer/distribusion-technologies--senior-technical-partnerships-manager-ukrainian-polish-speaker--berlin-pm
Java Developer,23 520,26 880,PLN,ITFS,Warszawa,Java,Hibernate,Maven,False,False,https://justjoin.it/job-offer/itfs-java-developer-warszawa-java
Full-stack/Back-end with C++,9 000,15 000,PLN,Motorola Solutions,Kraków,C++,Angular,TypeScript,False,False,https://justjoin.it/job-offer/motorola-solutions-full-stack-back-end-with-c--krakow-c
Camera Systems Engineer with C++/Go,11 000,21 000,PLN,Motorola Solutions,Kraków,TCP/IP,C++,Go,False,False,https://justjoin.it/job-offer/motorola-solutions-camera-systems-engineer-with-c-go-krakow-c
Software Engineer,13 000,18 000,PLN,Appfire,Gdańsk,Web Applications,Vue.js,NoSQL,True,True,https://justjoin.it/job-offer/appfire-software-engineer-gdansk-javascript
Senior Azure DevOps Engineer,30 000,37 000,PLN,hubQuest,Warszawa,Azure Resource Manager,,,True,True,https://justjoin.it/job-offer/hubquest-senior-azure-devops-engineer-warszawa-devops
Junior/Regular React Developer,10 500,12 600,PLN,Pragmatic Coders,Kraków,English,Polish,JavaScript,False,False,https://justjoin.it/job-offer/pragmatic-coders-junior-regular-react-developer-krakow-javascript
Lead Fullstack Developer (React+PHP),28 560,31 920,PLN,CSHARK,Wrocław,React,JavaScript,CI/CD,True,False,https://justjoin.it/job-offer/cshark-lead-fullstack-developer-react-php--wroclaw-php
Fullstack Development Engineer,19 000,21 000,PLN,DCV Technologies,Kraków,C#,.NET Core,JavaScript,False,False,https://justjoin.it/job-offer/dcv-technologies-fullstack-development-engineer-krakow-other
Java Developer,18 000,24 000,PLN,Jit Team,Gdańsk,Spring,Oracle,Java,True,False,https://justjoin.it/job-offer/jit-team-java-developer-gdansk-java-e45b1b36
React / Typescript developer,16 000,22 000,PLN,Primotly,Warszawa,nestJS,React,TypeScript,True,True,https://justjoin.it/job-offer/primotly-react-typescript-developer-warszawa-javascript
"Full-Stack / Front-End Developer (TypeScript, JavaScript, Node.js)",9 000,15 000,PLN,Motorola Solutions,Kraków,Angular,TypeScript,JavaScript,False,False,https://justjoin.it/job-offer/motorola-solutions-full-stack-front-end-developer-typescript-javascript-node-js--krakow-javascript-a151ba6e
Senior C/C++ Software Engineer,11 000,21 000,PLN,Motorola Solutions,Kraków,C++,C,Python,False,False,https://justjoin.it/job-offer/motorola-solutions-senior-c-c-software-engineer-krakow-c
MID Business Analyst/Product Owner,10 000,15 000,PLN,DPDgroup IT Solutions,Warszawa,Product Ownership,English,managing stakeholder,False,False,https://justjoin.it/job-offer/dpdgroup-it-solutions-mid-business-analyst-product-owner-warszawa-analytics
Senior Java Developer,16 000,21 000,PLN,Pro-Holding Sp. z o.o.,Kraków,SQL,Java,Spring,False,False,https://justjoin.it/job-offer/pro-holding-sp-z-o-o--senior-java-developer-krakow-java
SRE - Dynatrace,21 000,35 000,PLN,Kolomolo,Szczecin,Monitoring Tools,Dynatrace,,True,True,https://justjoin.it/job-offer/kolomolo-sre---dynatrace-szczecin-devops
Senior Data Engineer,24 000,31 000,PLN,Sigmoidal,Wrocław,Snowflake,AWS,Airflow,True,True,https://justjoin.it/job-offer/sigmoidal-senior-data-engineer-wroclaw-data
Software Engineer,17 000,20 000,PLN,Cisco Systems,Kraków,C++,Data Structures,OS fundamentals,False,False,https://justjoin.it/job-offer/cisco-systems-software-engineer-krakow-c-a17bf2c1
Scrum Master,10 000,15 000,PLN,E Net Production Sp. z o.o.,Katowice,Agile,,,True,True,https://justjoin.it/job-offer/e-net-production-sp-z-o-o--scrum-master-katowice-pm-1851cc81
Senior QA Engineer,20 000,22 000,PLN,The Codest,Warszawa,Python,Selenium,SQL,False,True,https://justjoin.it/job-offer/the-codest-senior-qa-engineer-warszawa-testing-94b12fa1
Backend Engineer (C# + .NET Core),20 000,25 000,PLN,DevsData LLC,Warsaw,XML,JSON,.NET C#,True,True,https://justjoin.it/job-offer/devsdata-llc-backend-engineer-c-net-core--warsaw-net
Solution Architect Java,25 000,30 200,PLN,Cloudflight,Wrocław,DDD,Java,Kafka,True,True,https://justjoin.it/job-offer/cloudflight-solution-architect-java
MS Dynamics 365 CRM Developer,18 480,25 200,PLN,Omega Code,Warszawa,English,CRM,Dynamics 365,True,True,https://justjoin.it/job-offer/omega-code-ms-dynamics-365-crm-developer-warszawa-erp
Unity/C# and Signal Processing Engineer,25 000,40 000,PLN,.intent,Warszawa,Unity,DSP,C#,False,True,https://justjoin.it/job-offer/intent-unity-c-and-signal-processing-engineer-warszawa-c
Site Lead / Regional IT Lead,45 000,74 000,PLN,Yard Corporate,Warszawa,JavaScript,Python,Java,True,False,https://justjoin.it/job-offer/yard-corporate-site-lead-regional-it-lead-warszawa-other
Client and Technical Support Specialist,10 000,15 000,PLN,GameCode,Warszawa,English,SQL,Microsoft Office,True,True,https://justjoin.it/job-offer/gamecode-client-and-technical-support-specialist-warszawa-support
IBMi / RPG Engineer (Senior),28 560,30 240,PLN,Avenga,Wrocław,"MQ, Turnover",Embedded SQL,JSON,True,True,https://justjoin.it/job-offer/avenga-ibmi-rpg-engineer-senior--wroclaw-other
Fullstack Java Developer,20 160,25 200,PLN,7N,Warszawa,Java,Spring,Kubernetes,False,True,https://justjoin.it/job-offer/7n-fullstack-java-developer-warszawa-java
Project Specialist,6 760,9 240,PLN,7N,Warszawa,PMO,ServiceNow,,False,False,https://justjoin.it/job-offer/7n-project-specialist-warszawa-pm
NetSuite Developer,21 514,30 119,PLN,Optiveum,Warszawa,NetSuite,SuiteScript,JavaScript,False,True,https://justjoin.it/job-offer/optiveum-netsuite-developer-warszawa-erp
iOS Developer,15 000,23 500,PLN,XTB,Warszawa,MVVM-C,Combine,Git,True,True,https://justjoin.it/job-offer/xtb-ios-developer-warszawa-mobile
Frontend Wordpress Developer,10 000,13 000,PLN,Empressia,Poznań,HTML5,SCSS,JavaScript,False,False,https://justjoin.it/job-offer/empressia-frontend-wordpress-developer-poznan-javascript
"Data Engineer (Java, Python, Azure)",25 000,27 700,PLN,emagine Polska,Warszawa,Java,SQL,Python,False,True,https://justjoin.it/job-offer/emagine-polska-data-engineer-java-python-azure--warszawa-data
Manual Tester,11 500,17 600,PLN,Connectis,Warszawa,Jira,Confluence,ISTQB,False,False,https://justjoin.it/job-offer/connectis-manual-tester-warszawa-testing
SecOps Engineer,25 000,30 000,PLN,Perfect Gym Solutions,Warszawa,AWS,Terraform,,True,True,https://justjoin.it/job-offer/perfect-gym-solutions-secops-engineer-warszawa-devops
Android Developer,21 672,31 920,PLN,Antal Sp. z o.o.,Warszawa,Kotlin,Android,,True,True,https://justjoin.it/job-offer/antal-sp-z-o-o--android-developer-warszawa-mobile
Konsultant rozwiązań Atlassian / Programista Groovy,17 000,25 000,PLN,Eyzee S.A.,Warszawa,Confluence,Groovy,,True,True,https://justjoin.it/job-offer/eyzee-s-a--administrator-konsultant-rozwiazan-atlassian-warszawa-admin-6b83a0cd
MLOps Engineer,150,198,,Antal Sp. z o.o.,Kraków,GCP,Machine Learning,Python,False,False,https://justjoin.it/job-offer/antal-sp-z-o-o--mlops-engineer-krakow-python
Inżynier oprogramowania/monitorowania z PHP,120,160,,Antal Sp. z o.o.,Warszawa,PHP,Docker,PostgreSQL,True,True,https://justjoin.it/job-offer/antal-sp-z-o-o--inzynier-oprogramowania-monitorowania-z-php-warszawa-php
Quality Assurance Specialist - part time,69,82,,Bejamas,Wrocław,Jira,Manual Testing,Playwright,True,True,https://justjoin.it/job-offer/bejamas-quality-assurance-specialist---part-time-80-100h-month--wroclaw-testing
Middle Fullstack PHP + JS Developer,14 273,18 351,PLN,Remodevs,Gdańsk,TypeScript,JavaScript,PHP,True,True,https://justjoin.it/job-offer/remodevs-middle-fullstack-php-js-developer-gdansk-javascript
UI Designer (Web),8 500,13 000,PLN,Envirly,Warszawa,UI Design,Figma,UX Design,False,False,https://justjoin.it/job-offer/envirly-ui-designer-web--warszawa-ux
Senior Data Analytics Engineer,18 502,25 816,PLN,TransferGo,Vilnius,SQL,DBT,Redshift,True,False,https://justjoin.it/job-offer/transfergo-senior-data-analytics-engineer-vilnius-data
Data Engineer,26 000,29 000,PLN,GreenMinds Sp. z o.o.,Warszawa,Power BI,.Net,ETL,False,True,https://justjoin.it/job-offer/greenminds-sp-z-o-o--data-engineer-warszawa-data-08cf0812
Frontend Developer (Angular),27 000,31 000,PLN,Connectis,Warszawa,HTML,Angular,JavaScript,True,True,https://justjoin.it/job-offer/connectis-frontend-developer-angular--warszawa-javascript-e7f1dda7
"Senior Fullstack .NET Developer (React, Azure) 💻",22 000,28 980,PLN,ITDS,Warszawa,TypeScript,C#,React.JS,True,False,https://justjoin.it/job-offer/itds-senior-fullstack-net-developer-react-azure--warszawa-net
Engineering Manager,37 000,54 000,PLN,hyperexponential,Warszawa,People Management,Management,Team Management,False,False,https://justjoin.it/job-offer/hyperexponential-engineering-manager-warszawa-java
Technical Support Engineer,12 000 PLN,,,EER POLAND,Poznań,IT Support,SQL,English,False,False,https://justjoin.it/job-offer/eer-poland-technical-support-engineer-poznan-support
Digital Workspace Engineer,14 000,26 000,PLN,Devopsbay,Gdańsk,IIS,Windows,Microsoft,False,False,https://justjoin.it/job-offer/devopsbay-digital-workspace-engineer-gdansk-admin
DC Migration Specialist (Windows),13 000,22 000,PLN,Kolomolo,Kraków,Networking Concepts,,,True,True,https://justjoin.it/job-offer/kolomolo-dc-migration-specialist-windows--krakow-other
Windows Automation,13 000,22 000,PLN,Kolomolo,Kraków,Bash,,,True,True,https://justjoin.it/job-offer/kolomolo-windows-automation-krakow-other
Project Manager,11 760,18 480,PLN,Pretius,Warszawa,English,Project Management,Zarządzanie zespołami,False,False,https://justjoin.it/job-offer/pretius-project-manager-warszawa-pm
Senior Data Engineer / Analyst,17 211,21 514,PLN,Planner 5D,Wilno,SQL,BigQuery,Python,True,True,https://justjoin.it/job-offer/planner-5d-senior-data-engineer-analyst-wilno-data
Senior Project Manager (CRM),20 000,24 000,PLN,Jit Team,Gdynia,CRM,Project Management,Jira,True,True,https://justjoin.it/job-offer/jit-team-senior-project-manager-crm--gdynia-pm
Senior FullStack Developer (NodeJS + React),26 400,31 200,PLN,Winged IT,Warszawa,React,JavaScript,Node.js,False,False,https://justjoin.it/job-offer/winged-it-senior-fullstack-developer-nodejs-react--warszawa-javascript
Programista baz danych Oracle,19 000,24 700,PLN,Jit Team,Warszawa,Oracle,Unix,Git,True,True,https://justjoin.it/job-offer/jit-team-programista-baz-danych-oracle-warszawa-data
Senior QA Engineer,17 100,22 800,PLN,Jit Team,Warszawa,HTML,Azure,.Net,True,True,https://justjoin.it/job-offer/jit-team-senior-qa-engineer-warszawa-testing
Manual QA Engineer,10 000,14 000,PLN,Remodevs,Warszawa,English,Manual Testing,Mobile App Testing,False,False,https://justjoin.it/job-offer/remodevs-manual-qa-engineer-warszawa-testing
Senior React Developer,26 880,32 000,PLN,7N,Warszawa,React,TypeScript,CSS,True,True,https://justjoin.it/job-offer/7n-senior-react-developer-warszawa-javascript
Software Developer / Fullstack Developer,22 400,24 500,PLN,Maandag® Poland,Poznań,SQL,Amazon AWS,Java,False,False,https://justjoin.it/job-offer/maandag-poland-software-developer-fullstack-developer-poznan-java
Azure DataBricks Engineer,23 520,31 920,PLN,CRODU,Kraków,Python,NoSQL,Azure,True,True,https://justjoin.it/job-offer/crodu-azure-databricks-engineer-krakow-data-3c28e8e8
React Developer / Frontend Developer,17 000,22 000,PLN,Adanto Software,Białystok,ReactJS,i18n,Next.js,True,True,https://justjoin.it/job-offer/adanto-software-react-developer-frontend-developer-bialystok-javascript
Senior Java Developer,21 600,27 200,PLN,RITS Professional Services,Wrocław,Java,Spring Boot,REST API,False,False,https://justjoin.it/job-offer/rits-professional-services-senior-java-developer-wroclaw-java
Full-Stack Clojure Developer,20 000,27 000,PLN,Raiffeisen Tech,Warszawa,Jenkins,Scrum,Kanban,False,False,https://justjoin.it/job-offer/raiffeisen-tech-software-engineer---full-stack-developer-warszawa-java
Full-Stack Clojure Developer,20 000,27 000,PLN,Raiffeisen Tech,Warszawa,Scrum,Jenkins,Kanban,False,False,https://justjoin.it/job-offer/raiffeisen-tech-software-engineer---full-stack-developer-warszawa-javascript
Full-Stack Clojure Developer,20 000,27 000,PLN,Raiffeisen Tech,Warszawa,Clojure,Jenkins,API,False,False,https://justjoin.it/job-offer/raiffeisen-tech-software-engineer---full-stack-developer-warszawa-net
System Engineer,19 000,27 000,PLN,Tesco Technology,Kraków,Kubernetes,SQL,Microsoft Azure Cloud,False,False,https://justjoin.it/job-offer/tesco-technology-system-engineer-krakow-devops
Python developer to Labs team,17 211,21 514,PLN,Planner 5D,Wilno,Python,RabbitMQ,Flask,True,True,https://justjoin.it/job-offer/planner-5d-python-developer-to-labs-team-wilno-python
Java Developer – Learn and Grow into Big Data,11 000,16 000,PLN,Datumo,Warszawa,Java,SQL,JVM,True,True,https://justjoin.it/job-offer/datumo-java-developer---learn-and-grow-into-big-data-warszawa-java
Senior Java Cloud Developer,18 300,26 300,PLN,Grape Up,Kraków,Spring,Java,AWS,True,True,https://justjoin.it/job-offer/grape-up-senior-java-cloud-developer-krakow-java
Senior PHP Developer,18 000,24 000,PLN,Centra,Wrocław,OOP,PHP,Elasticsearch,False,False,https://justjoin.it/job-offer/centra-senior-php-developer-wroclaw
Senior Angular Developer,21 000,28 000,PLN,House of Angular,Warszawa,HTML/CSS,Angular,TypeScript,False,False,https://justjoin.it/job-offer/house-of-angular-senior-angular-developer-warszawa-320936
Lider Zespołu Data Science – Python i Machine Learning,23 000,28 000,PLN,Respect Energy,Warszawa,Data Science,Python,Machine Learning,False,False,https://justjoin.it/job-offer/respect-energy-lider-zespolu-data-science---python-i-machine-learning-warszawa-data
Full Stack Developer,15 000,18 000,PLN,Wycieczkomat Sp. z o. o.,Halinów,TypeScript,Node.js,Vue.js,False,True,https://justjoin.it/job-offer/wycieczkomat-sp-z-o-o--full-stack-developer-halinow-javascript
Kierownik Projektu/Scrum Master,19 320,21 000,PLN,Avenga,Warszawa,Polish,CI/CD,Jira,False,False,https://justjoin.it/job-offer/avenga-kierownik-projektu-scrum-master-warszawa-pm
Java Developer,9 000,12 000,PLN,Netcompany,Warszawa,English,Spring,Hibernate,False,False,https://justjoin.it/job-offer/netcompany-java-developer-warszawa
.NET Developer,9 000,12 000,PLN,Netcompany,Warszawa,English,.Net,ASP.NET MVC,False,False,https://justjoin.it/job-offer/netcompany-net-developer-b2b
Senior Fullstack (Angular/Node.js) Developer (pharma),25 200,29 400,PLN,7N,Warszawa,Node.js,HTML,JavaScript,False,True,https://justjoin.it/job-offer/7n-senior-fullstack-angular-node-js-developer-pharma--warszawa-javascript
Senior Python Software Engineer,20 000,24 000,PLN,DevsData LLC,Poznań,Python,Django,OOP,True,False,https://justjoin.it/job-offer/devsdata-llc-senior-python-software-engineer-poznan-python
Java Software Engineer,15 000,26 000,PLN,Coleford,Warszawa,Spring Boot,Hibernate,REST API,False,True,https://justjoin.it/job-offer/codefusion-java-software-engineer-warszawa-java
IT Support Specialist,7 000,11 000,PLN,Respect Energy,Warszawa,Microsoft 365,Windows Administration,English,False,False,https://justjoin.it/job-offer/respect-energy-it-support-specialist-warszawa-support
IT Solutions Architect,25 000,30 000,PLN,Respect Energy,Warszawa,Architecture,Apache Kafka,Azure,False,True,https://justjoin.it/job-offer/respect-energy-it-solutions-architect-warszawa-architecture
Full-stack Developer (PHP/Angular),17 000,25 000,PLN,Verestro SA,Lublin,PHP,Symfony,Angular,False,False,https://justjoin.it/job-offer/verestro-sa-full-stack-developer-php-angular--lublin-php
Software Platform Engineer - Carfax US,15 400,20 100,PLN,S&P Global,Gdańsk,Jenkins,Java,Amazon AWS,False,False,https://justjoin.it/job-offer/s-p-global-software-platform-engineer---carfax-us-gdansk-java
.Net Core Developer,18 480,21 840,PLN,Avenga,Wrocław,.NET Core,SQL Server,Entity Framework,False,False,https://justjoin.it/job-offer/avenga--net-core-developer-wroclaw-net
Expert Java Developer,21 000,27 300,PLN,Jit Team,Gdynia,Java,Spring Boot,Spring,False,False,https://justjoin.it/job-offer/jit-team-expert-java-developer-gdynia-java
Mid Fullstack Developer,10 000,16 000,PLN,MindPal,Katowice,JavaScript,HTML5 / CSS3,,True,True,https://justjoin.it/job-offer/mindpal-mid-fullstack-developer-katowice-ai
Senior Cloud Engineer for AWS,19 200,26 000,PLN,AUTORUN,Warszawa,Amazon EKS/ECS,Git,,True,True,https://justjoin.it/job-offer/autorun-senior-cloud-engineer-for-aws-warszawa-devops
DevOps Engineer,18 000,28 000,PLN,Centra,Wrocław,Kubernetes,AWS,Linux,True,False,https://justjoin.it/job-offer/centra-devops-engineer-wroclaw-devops
